dataset,nodes,edges,threads,iterations,time,last_diff
web-Stanford,281903,2312497,1,20,0.141550,1.656897e-03
web-Stanford,281903,2312497,2,20,0.088027,1.656897e-03
web-Stanford,281903,2312497,4,20,0.063600,1.656897e-03
web-Stanford,281903,2312497,8,20,0.056251,1.656897e-03
web-Google,875713,5105039,1,20,0.546605,1.361311e-03
web-Google,875713,5105039,2,20,0.414032,1.361311e-03
web-Google,875713,5105039,4,20,0.285999,1.361311e-03
web-Google,875713,5105039,8,20,0.235192,1.361311e-03
web-BerkStan,685230,7600595,1,20,0.268967,1.961585e-03
web-BerkStan,685230,7600595,2,20,0.163559,1.961585e-03
web-BerkStan,685230,7600595,4,20,0.115899,1.961585e-03
web-BerkStan,685230,7600595,8,20,0.093235,1.961585e-03
